,종목명,날짜,제목,본문,SN_caller,SL_caller,NNP_caller,NNG_caller,SF_caller,SS_caller,SW_caller,SP_caller,NR_caller,NNB_caller,JKB_caller,JX_caller,XSN_caller,JC_caller,JKO_caller,MAG_caller,JKG_caller,VV_caller,EC_caller,XSV_caller,EP_caller,MAJ_caller,ETM_caller,XPN_caller,MM_caller,JKS_caller,VCP_caller,VA_caller,NA_caller,XR_caller,ETN_caller,XSA_caller,SO_caller,NP_caller,EF_caller,VX_caller,VCN_caller,SH_caller,IC_caller,JKV_caller,SN_other,SL_other,NNP_other,NNG_other,SF_other,SS_other,SW_other,SP_other,NR_other,NNB_other,JKB_other,JX_other,XSN_other,JC_other,JKO_other,MAG_other,JKG_other,VV_other,EC_other,XSV_other,EP_other,MAJ_other,ETM_other,XPN_other,MM_other,JKS_other,VCP_other,VA_other,NA_other,XR_other,ETN_other,XSA_other,SO_other,NP_other,EF_other,VX_other,VCN_other,SH_other,IC_other,JKV_other,stock_name,price,price + 30days
846,현대오토에버,24.07.29,영업이익은 컨센서스 21% 상회,"탑라인과 이익 모두에서 어닝 서프라이즈를 기록했다. 매출은 9,181억원(+21.8% YoY)으로 시장 추정치를 8.4% 상회했고, 영업이익은 685억원(+30% YoY)으로 추정치를 20.6%나 상회했다. 서프라이즈에 가장 큰 기여를 한 것은 SI 사업부다. SI 매출은 3,308억원(+37% YoY)으로 컨센서스를 21% 상회했다. 본격적인 가동을 앞둔 미국 조지아 메타플랜트의 IT시스템 및 스마트팩토리 솔루션과, 차세대 ERP 계약이 계절성 이슈로 1Q에서 2Q로 미뤄지며 이번 분기 매출 인식이 본격화됐다. 진행률로 인식되는 SI 프로젝트 특성상 하반기에도 수혜가 지속될 것으로 전망한다. 영업이익 개선은 차량용SW에서 신규 모델에 들어갈 ADAS 통합제어기 적용에 따라 차량당 발생하는 매출이 1Q에서 2Q로 밀리며 60억 가량 발생, 이익에 대부분 반영됐다. 이에 영업이익률은 7.5%까지 상승했다. ITO 단가 인상률 확대 등의 여파로 24년 영업이익률은 6.4%(+0.5%pt YoY)로 예상한다.",9.0,3.0,13.0,46.0,1.0,8.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,13.0,46.0,1.0,8.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,현대오토에버,138700,141100
853,한화오션,24.07.29,2Q24 Review: 컨센서스 하회하며 분기 적자 기록,"2Q24 연결 매출액 2 조 5,361 억원(+39.3% YoY, +11.1% QoQ), 영업적자 96 억원(적지 YoY, 적전 QoQ)을 기록하며 컨센서스(182 억원)을 하회했다. 일회성 환입요인으로는 1)환율 상승 효과 250 억원과 2)특수선 부문에서 추정 계약가 상승으로 600 억원이 발생했다. 일회성 비용으로는 선표 조정 및 컨테이너선 중심의 지체상금(LD) 설정, 사외협력사 특별 지원금, 그리고 사내 협력사 예비비 및 인센티브 관련하여 총 1,400 억원의 비용이 발생했다.",24.0,14.0,22.0,47.0,3.0,15.0,2.0,11.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,5.0,4.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,22.0,47.0,3.0,15.0,2.0,11.0,0.0,6.0,8.0,3.0,5.0,0.0,0.0,1.0,1.0,7.0,5.0,4.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,한화오션,31000,38100
855,하나금융지주,24.07.29,"목표주가 78,000 원으로 상향","하나금융지주의 목표주가를 이익 추정치 상향, 주주 환원 확대 기대감 등을 반영하여 78,000 원으로 상향한다. 목표주가는 24E BVPS 131,956 원에 Target PBR 0.59 배를 적용하여 산출했다. 투자 리스크로 금리 변동에 따른 마진 하락 우려를 제시한다.",10.0,6.0,6.0,9.0,2.0,8.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.0,2.0,8.0,6.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,하나금융지주,64900,60200
864,GS건설,24.07.29,"투자의견 Buy로 상향, 목표주가 24,000원으로 상향","GS건설에 대해 투자의견을 기존 Hold에서 Buy로 상향하고, 목표주가를 기존 17,000원에서 24,000원으로 상향한다. 목표주가 상향은 최근의 부동산 투자 심리 개선과 GS이니마 매각 기대감을 반영하여 Target P/B를 기존 0.30배에서 0.45배로 상향한데 따른다. 현재 주가는 12개월 포워드 기준 P/B 0.33배, P/E 5.6배에 해당한다. 최근 서울의 아파트 가격이 18주 연속 상승하고 매매거래량이 반등하는 등 부동산 투자 심리가 연초 대비 개선되고 있다. GS건설의 2Q24 순차입금은 3.2조원 규모로 경쟁사 대비 매우 높은 수준이다. 자회사 GS이니마 매각 시 재무 구조는 획기적으로 개선되고 이는 GS건설 주가에 긍정적인 영향을 줄 것으로 기대한다.",18.0,2.0,18.0,41.0,8.0,8.0,3.0,9.0,4.0,7.0,8.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,18.0,41.0,8.0,8.0,3.0,9.0,4.0,7.0,8.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,GS건설,18620,18140
873,HD현대일렉트릭,24.07.29,가장 많이 나온 질문 4 가지,"투자자 미팅에서 공통적으로 나온 질문을 정리하면 다음과 같다. ① 2Q24 실적에서 22.9%라는 높은 영업이익률의 배경. ② 연초에 제시한 24년 매출액 가이던스(3.3조원) 상향 가능성 ③ 지역별(미국, 유럽, 중동) 전력기기 시장환경 변화. ④ 데이터센터에 납품하는 전력기기 매출액 추이 및 비중에 대한 질문이 있었다.",37.0,11.0,36.0,51.0,19.0,14.0,17.0,14.0,12.0,14.0,10.0,10.0,3.0,2.0,3.0,2.0,1.0,8.0,4.0,8.0,6.0,1.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,36.0,51.0,19.0,14.0,17.0,14.0,12.0,14.0,10.0,10.0,3.0,2.0,3.0,2.0,1.0,8.0,4.0,8.0,6.0,1.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,HD현대일렉트릭,319000,361000
878,LIG넥스원,24.07.29,"- LIG넥스원의 2024년 2분기 실적은 매출액 6,047억원(+11%yoy), 영업이익 491억원(+22%yoy, OPM 8.1%). 영업이익 기준 시장 컨센서스인 552억원을 소폭 하회, 당사 추정치 470억원을 소폭 상회하는 결과","- 매출과 이익 모두 미스가 났지만, 동사 사업은 순항 중. 각종 개발 및 양산 사업은 계획대로 진행 중이며, 과거 제도 개선 영향으로 연구개발/국내양산 사업의 마진율은 오히려 개선되고 있음. 실적이 안 좋았다는 오판은 금물",8.0,6.0,10.0,41.0,6.0,7.0,3.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,10.0,6.0,0.0,5.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,6.0,10.0,41.0,6.0,7.0,3.0,5.0,2.0,5.0,4.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,5.0,10.0,6.0,0.0,5.0,0.0,2.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,LIG넥스원,254500,234500
883,풍산,24.07.29,"▶ 2Q24 Review: 연결 매출액 1조 2,336억원, 영업이익 1,613억원 기록(OPM 13.1%)",- 방산 수출 수주 물량 인식과 이에 따른 이익률 상승으로 영업이익 기준 컨센서스를 +27% 상회하는 실적 기록,23.0,11.0,39.0,72.0,10.0,12.0,6.0,11.0,6.0,12.0,8.0,7.0,5.0,1.0,9.0,5.0,3.0,8.0,7.0,12.0,7.0,11.0,10.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,39.0,72.0,10.0,12.0,6.0,11.0,6.0,12.0,8.0,7.0,5.0,1.0,9.0,5.0,3.0,8.0,7.0,12.0,7.0,11.0,10.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,풍산,70300,58800
889,GS건설,24.07.29,"2Q24 Review: 매출액 3.3조 원, 영업이익 937억 원","2024년도 2분기 GS건설의 영업실적은 매출액 3.3조 원(YoY -5.7%), 영업이익 937억 원(YoY 흑자전환)을 기록했다. 영업이익은 시장 기대치 852억 원 대비 10.0% 상회하였는데, 2분기 건축/주택 부문 원가율이 89.0%(QoQ -2.2%pt)로 개선된 영향이다. 상반기 신규수주는 연결기준 약 8.3조 원으로, 연간 가이던스 13.3조 원 대비 약 62.4%를 달성한 것으로 추정된다. 상반기 주택 분양 물량은 8,486세대로, 연간 공급 계획 19,880세대 대비 42.7%를 달성하였다.",15.0,9.0,19.0,36.0,9.0,0.0,0.0,12.0,0.0,9.0,6.0,1.0,2.0,0.0,8.0,2.0,1.0,4.0,8.0,9.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,15.0,9.0,19.0,36.0,9.0,0.0,0.0,12.0,0.0,9.0,6.0,1.0,2.0,0.0,8.0,2.0,1.0,4.0,8.0,9.0,1.0,1.0,5.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,GS건설,18620,18140
898,현대오토에버,24.07.29,2 분기 시장 컨센서스 대폭 상회하는 호실적 기록,"동사는 2분기 매출액 9,180억원(+21.8%yoy), 영업이익 680억원(+29.7%yoy, OPM 7.5%), 지배이익 520 억원(+36.1%yoy)을 기록, 영업이익 기준 컨센서스를 대폭 상회",19.0,15.0,30.0,50.0,12.0,5.0,11.0,8.0,2.0,10.0,9.0,7.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,14.0,8.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,15.0,30.0,50.0,12.0,5.0,11.0,8.0,2.0,10.0,9.0,7.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,14.0,8.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,현대오토에버,138700,141100
905,효성티앤씨,24.07.29,2Q24 Review: 섬유부문 실적 성장 지속,"효성티앤씨의 2Q24 매출액은 2.0 조원(+2.8% YoY, +5.5% QoQ), 영업이익 846억원(+31.1% YoY, +11.2% QoQ)을 기록했다. 전방 수요 회복에 따른 Spandex 판매량 개선 영향으로 실적 성장을 기록했다. 일회성 비용 50 억원을 제외하면 896 억원의 이익체력을 기록했으며, 우호적 업황에 따라 개선세를 지속했다. 1) 섬유: 영업이익 637 억원(+14.6% QoQ)을 기록했다. Spandex/PTMG 영업이익은 716 억원을 기록했을 것으로 추정된다. Spandex 판매량은 성수기 효과, 수요 개선에 따라 1Q24 대비 증가한 것으로 판단되는 반면, Spread 는 Spandex 가격 하락 등 영향에 따라 -1.9% QoQ 로 약보합세를 기록했다. Nylon/Polyester 영업적자는 79 억원으로 1Q24 대비 적자폭을 축소했을 것으로 파악된다. 2Q24 해상운임 상승분 전가를 통해 추가적인 수익성 개선이 가능했으나, 공급과잉 영향으로 적자 지속했다. 2) 무역 / 기타: 영업이익 209 억원(+2.5% QoQ)을 기록했다. 고마진 철강 제품 판매 확대 등 영향으로 철강 업황 부진에도 소폭 실적 개선을 달성했다.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,효성티앤씨,294500,284000
908,LX세미콘,24.07.29,2025년 성장 동력에 집중해야할 구간,2분기 실적은 낮아진 시장 예상치를 상회했으나 하반기 실적은 다소 부진할 전망. 현재 주가는 12개월 선행 주가수익비율(P/E) 8.3배(P/E 밴드차트 중단) 수준으로 올해의 실적 우려는 대부분 반영이 완료된 상태. 2025년 OLED향 공급 증가 및 신사업(차량용 방열기판 및 비메모리 반도체) 본격화를 고려하면 하반기부터 주가 반등이 가속화될 것으로 기대,43.0,7.0,44.0,140.0,23.0,6.0,15.0,19.0,5.0,18.0,20.0,18.0,11.0,2.0,13.0,5.0,5.0,18.0,26.0,24.0,13.0,1.0,16.0,1.0,3.0,11.0,7.0,7.0,0.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,7.0,44.0,140.0,23.0,6.0,15.0,19.0,5.0,18.0,20.0,18.0,11.0,2.0,13.0,5.0,5.0,18.0,26.0,24.0,13.0,1.0,16.0,1.0,3.0,11.0,7.0,7.0,0.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LX세미콘,64400,59000
909,풍산,24.07.29,"24.2Q 실적 시장 기대치 상회, 3Q 둔화되나 양호한 실적 흐름","동사의 24.2Q 별도 영업이익 [1,409억원, +300.1% QoQ] 시장 기대치 [1개월 컨센서스 1,090억원]을 큰 폭으로 상회했다. 이는 『1) 큰 폭의 방산 부문 실적 개선: 매출액 증가, 대구경/소구경 수출 마진 확대, 2) 민수 부문 실적 개선: 전기동 가격 상승에 따른 Metal gain 및 [Metal gain을 제외한] Roll-Margin 확대, 가격 상승 구간에서의 가수요, 판매량 증가 효과」에 기인한다. 이에 연결 영업이익 [1,613억원,  +197.5% QoQ] 역시 시장 기대치 [1개월 컨센서스 1,274억원] 큰 폭으로 상회했다. PMX 등 신동 자회사 실적이 Metal gain 및 판매량 증가 등으로 전분기 대비 좋은 흐름을 보였기 때문이다. 역대 최대 실적이다. 동사의 24.3Q 실적은 [연결 영업이익 800억원, -50.2% QoQ] 전분기 대비 둔화될 전망이다. 전분기 실적이 너무 좋았던데 따른 착시 효과이지 여전히 양호하다. 실적 둔화 이유는 『1) 방산 부문 매출 감소 [24.2Q 3,379억원 → 24.3Q 약 2,500억원] 및 수출 비중 하락 [24.1Q 54% → 24.2Q 68% → 24.3Q 51%]]에 따른 마진율 둔화 <그림 1>, 2) [본사+자회사] 신동 부문 판매량 감소 및 전기동 가격 하락 따른 Metal gain 축소』에 기인한다. 참고로 금번 실적 발표회에서 회사는 세전이익 500억원[별도기준, 지분법이익 제외]의 가이던스를 제시했다.",30.0,17.0,12.0,46.0,10.0,12.0,23.0,10.0,4.0,11.0,7.0,5.0,7.0,1.0,6.0,1.0,4.0,2.0,4.0,9.0,3.0,1.0,6.0,0.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,12.0,46.0,10.0,12.0,23.0,10.0,4.0,11.0,7.0,5.0,7.0,1.0,6.0,1.0,4.0,2.0,4.0,9.0,3.0,1.0,6.0,0.0,1.0,5.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,풍산,70300,58800
915,현대제철,24.07.29,실적은 개선되지만 저조한 수익성,"동사 24.2Q 실적 [연결 영업이익 980억원 (+75.6% QoQ)]은 시장 예상치 [1개월 시장 컨센서스 영업이익 805억원]를 소폭 상회했다. <표 1> 본사 부문 실적 [영업이익 457억원 (-48.6% QoQ)] 은 고로 부문 Roll-Margin 확대에도 가동률 하락 및 업황 부진에 따른 비용 인식 등으로 부진한 실적을 시현했다. 다만 『1) STS 가격 인상 효과[현대비앤지스틸], 2) 해외 자회사 흑자 전환 [현대스틸파이프]』 등에 따른 자회사 실적 호조가 본사 부진을 상쇄했다. 24.3Q 실적 [연결 영업이익 1,290억원 (+32.1 QoQ)]은 니켈 가격 하락 등 여파로 자회사 실적 둔화에도 불구, 본사 부문 실적이 원료 가격 하락에 따른 고로/봉형강 부문 Roll-Margin이 소폭 확대되면서 전분기 대비 개선될 전망이다. 주지하다시피 부진한 업황으로 실적은 과거 통상 수준 대비 크게 미달하는 수준이다.",43.0,12.0,34.0,41.0,16.0,21.0,20.0,17.0,11.0,10.0,6.0,5.0,2.0,1.0,6.0,1.0,6.0,6.0,7.0,6.0,4.0,2.0,6.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,12.0,34.0,41.0,16.0,21.0,20.0,17.0,11.0,10.0,6.0,5.0,2.0,1.0,6.0,1.0,6.0,6.0,7.0,6.0,4.0,2.0,6.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,현대제철,26700,21500
918,현대오토에버,24.07.29,"서프라이즈 실적, 밸류에이션 매력도 긍정적","분기 서프라이즈 실적 발표로 실적 성장 구간 진입 확인. 계단식 성장 전망과 함께 수익성 개선도 이어질 전망. 연간 실적 추정치 상향, 밸류에이션 매력이 긍정적. 국내 NO.1 차량 소프트웨어 업체로 주가 레벨업 기대",33.0,1.0,38.0,111.0,15.0,10.0,7.0,20.0,10.0,24.0,16.0,13.0,4.0,2.0,6.0,3.0,7.0,0.0,12.0,23.0,8.0,5.0,14.0,1.0,3.0,4.0,8.0,3.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,1.0,38.0,111.0,15.0,10.0,7.0,20.0,10.0,24.0,16.0,13.0,4.0,2.0,6.0,3.0,7.0,0.0,12.0,23.0,8.0,5.0,14.0,1.0,3.0,4.0,8.0,3.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,현대오토에버,138700,141100
925,효성첨단소재,24.07.29,2Q24 Review: 업황대비 아쉬운 성장,"효성첨단소재의 2Q24 매출액은 8,405 억원(+3.0% YoY, +0.5% QoQ), 영업이익 658 억원(+35.4% YoY, +3.3% QoQ)을 기록했다. 타이어코드 출하는 2Q24 견조했으나, Steel T/C 의 판가 하락으로 인해 수익성이 일부 하락했다. PET T/C 의 경우 북미 등 수요 증가로 ASP 소폭 개선됐으며, 해상운송일수 증가 영향에 따른 일부 선제적 재고 축적 수요 역시 발생했던 것으로 판단된다. 산업용사의 경우 판매량의 점진적 확대에 따라 전분기대비 개선된 실적을 기록했으며, 아라미드의 경우 공급과잉 심화에 따른 적자를 지속했다. 한편, 탄소섬유의 경우 글로벌 판가 대비 중국 지역의 판가하락이 우세하게 작용하며 ASP 하락 지속됐으나 중국 6 호기 가동으로 인한 출하량 증가로 1Q24 와 유사한 실적을 기록했을 것으로 판단된다.",10.0,3.0,13.0,45.0,6.0,0.0,4.0,5.0,0.0,5.0,6.0,3.0,4.0,0.0,4.0,3.0,3.0,5.0,7.0,7.0,1.0,3.0,9.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,13.0,45.0,6.0,0.0,4.0,5.0,0.0,5.0,6.0,3.0,4.0,0.0,4.0,3.0,3.0,5.0,7.0,7.0,1.0,3.0,9.0,0.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,효성첨단소재,효성첨단소재에 해당하는 종목이 없습니다,효성첨단소재에 해당하는 종목이 없습니다
930,카카오,24.07.29,카카오 자회사 밸류의 현주소,"픽코마, 카카오엔터테인먼트, 카카오모빌리티 모두 직전 투자 밸류 기준으로 EV 배수를 구했을 때, 피어 그룹 대비 상당히 고평가되고 있는 것으로 판단한다. EV 배수지표 하나만으로 기업의 가치를 측정하는 데에는 한계가 있으나, 직전 투자 밸류 이상으로 IPO 혹은 매각이 이루어져야 하는 만큼 단기간에 IPO 또는 매각 가능성은 높지 않은 것으로 판단한다. 카카오 자회사 중 SOTP 밸류에이션에서 가장 큰 비중을 차지하는 회사는 카카오엔터테인먼트이며, 그 다음이 픽코마와 모빌리티 순이다. 언론에 따르면, 카카오는 카카오엔터테인먼트, 모빌리티를 전략 자산이 아닌 매각 자산으로 분류하고 있다. 고로, 해당 지분의 매각 가능성을 검토해볼 필요가 있다고 판단한다. 또한, 네이버웹툰이 상장함에 따라 엔터테인먼트와 픽코마의 적정 가치에 대한 고민을 해 볼 시점이기도 하다. 매각 가치인 EV를 기준으로 피어 그룹과의 가치를 비교하고, 가장 최근 투자 유치 밸류를 기준으로 기업가치를 산정하는 것이 합리적인지 재검토하고 밸류에이션에서 할인율을 조정했다. 웹툰엔터테인먼트는 상장 초기 변동성이 큰 구간이지만, 3~4조 원 내외의 시가총액을 기록하고 있다. 7/26 시가총액을 기준으로 계산한 EV는 3.5조 원이며, 24F EV/SALES는 2배, EV/EBITDA는 60배로 글로벌 피어 대비 높은 편이지만, IPO 관련 일회성 비용이 사라지는 25년에는 EV/EBITDA 배수가 18배로 급감한다. 픽코마와 카카오엔터테인먼트의 EV는 대규모 투자를 유치한 밸류에 순현금을 제외해서 계산했다. 픽코마는 23년 말 기준 6,000억 원 규모의 순현금을 보유했다. 24년 매출 7,200억 원, OPM 15%, 감가상각비 200억원으로 가정했고, 25년도 전년 대비 매출 성장률은 20%에 OPM은 동일한 수준으로 가정했다. 엔터테인먼트는 PIF, GIC의 투자 유치 후인 11.3조 원을 기준으로 계산했으며, 24년 예상 매출액은 2조 원, OPM 5%, 감가상각비 500억원으로 가정했다. 25년도에는 매출이 2.5조 원까지 성장하고, OPM 7% 확대된다고 다소 공격적으로 가정했다. 두 기업의 24년도 기준 EV/SALES와 EV/EBITDA 배수는 각각 11배/64배, 6배/75배로 피어그룹 평균을 큰 폭으로 상회한다. 모빌리티 EV 규모는 21년도 4,000억 원 규모의 투자 유치 시 신주 발행가액을 기준으로 계산한 시가총액인 4.1조 원을 기준으로 계산했다. 24년도 매출액은 6,000억원, OPM 10%, 감가상각비 300억 원으로 가정했으며, 25년도에는 20%의 매출액 성장과 동일한 OPM 유지로 가정했다. 24년 기준 EV/SALES와 EV/EBITDA 배수는 각각 6배, 42배로 역시나 평균을 상회한다.",24.0,14.0,55.0,78.0,10.0,9.0,12.0,11.0,3.0,11.0,12.0,10.0,9.0,3.0,5.0,2.0,8.0,7.0,7.0,13.0,11.0,1.0,13.0,0.0,13.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,24.0,14.0,55.0,78.0,10.0,9.0,12.0,11.0,3.0,11.0,12.0,10.0,9.0,3.0,5.0,2.0,8.0,7.0,7.0,13.0,11.0,1.0,13.0,0.0,13.0,5.0,1.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,카카오,39400,35100
932,현대모비스,24.07.29,"2Q24 Review: 컨센서스를 하회한 실적, 품질비용 재차 발생","영업이익은 6,361억원(-4.2%YoY, +17.2%QoQ)으로 컨센서스를 6.6% 하회했다.매출액은 14.7조원(-6.6%YoY, +5.7%QoQ)으로 컨센서스에 부합했다. 영업이익률은 4.3%(+0.1%P YoY, +0.4%P QoQ)으로 회복 중이지만 예상치에 미달했다. 모듈/핵심부품 부문 영업이익은 전년비 적자전환, 전분기비 적자지속이다. 원인은 고객사 생산량 감소(-0.4%YoY), 고객사 친환경차 생산믹스 영향(BEV -34%, HEV +22%), 성과급 포함한 인건비 증가 400억원, 제조부문 품질비용 400억 영향이다. 특히 품질비용은 1분기에도 800억원 발생했기에 아쉬운 점이다. 긍정적인 부분은 A/S 부문이 물류비 정상화 및 환율효과에 힘입어 영업이익률 25.6%(+4.5%P YoY, +0.8%p QoQ)를 기록했다. 동사는 인건비는 올해 1분기부터 분배해서 반영한 영향이며, 물류비 상승 영향은 하반기에는 어느정도 반영될 수 있다고 언급했다. 부문별 매출액을 살펴보면 모듈/핵심부품 부문이 11.7조원(-10.0% YoY)으로 역성장했는데 원인은 전동화 부문(-53.9% YoY)이다. 총 2조원의 감소 요인은 배터리셀 물량 감소(-5,900억원), 셀 가격 하락(-4,600억원), 셀 사급전환(-2,700억원), 고객사 친환경차 믹스 영향(-7,000억원)이다. 반면 핵심부품 부문은 전장부품 비중 확대에 힘입어 전년비 +21.3% 증가하며 고성장을 지속하고 있다. A/S 부문은 글로벌 순정부품 수요 지속 및 판가 인상 등으로 전년비 +9.9% 증가했다.",1.0,4.0,18.0,26.0,2.0,5.0,0.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,18.0,26.0,2.0,5.0,0.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,현대모비스,244000,258500
